accuracy,loss,top_10_accuracy,top_20_accuracy,top_3_accuracy,top_5_accuracy,val_accuracy,val_loss,val_top_10_accuracy,val_top_20_accuracy,val_top_3_accuracy,val_top_5_accuracy,learning_rate
0.17621584236621857,3.938746213912964,0.38078150153160095,0.48381832242012024,0.27619805932044983,0.3129538297653198,0.20030753314495087,3.805795192718506,0.44033828377723694,0.5417221784591675,0.31860584020614624,0.3658636510372162,0.0010000000474974513
0.21206684410572052,3.7248337268829346,0.4401104152202606,0.542783796787262,0.32789433002471924,0.36942148208618164,0.20194771885871887,3.7736153602600098,0.45002561807632446,0.5486930012702942,0.3223475217819214,0.3709379732608795,0.0010000000474974513
0.21792858839035034,3.6924991607666016,0.44848546385765076,0.5528987646102905,0.3340112864971161,0.375894159078598,0.20358790457248688,3.7688424587249756,0.45761147141456604,0.5513582825660706,0.32772937417030334,0.37442338466644287,0.0010000000474974513
0.2198232263326645,3.677769184112549,0.45115339756011963,0.5552573800086975,0.3356197774410248,0.37850797176361084,0.20220400393009186,3.7577168941497803,0.44905176758766174,0.5524858832359314,0.32839569449424744,0.3725269138813019,0.0010000000474974513
0.22017121315002441,3.66459584236145,0.4539450705051422,0.5588301420211792,0.3378933370113373,0.38078150153160095,0.19948744773864746,3.7620363235473633,0.4525371491909027,0.5491542816162109,0.32567915320396423,0.37401333451271057,0.0010000000474974513
0.2222205102443695,3.655242919921875,0.4559093117713928,0.5611191391944885,0.3383650481700897,0.3816940188407898,0.20358790457248688,3.7565295696258545,0.45545873045921326,0.5528447031974792,0.3256278932094574,0.3761148154735565,0.0010000000474974513
0.2238212674856186,3.645930767059326,0.4569764733314514,0.5624879002571106,0.3395095765590668,0.3830937445163727,0.20445924997329712,3.769868850708008,0.45002561807632446,0.553613543510437,0.32542285323143005,0.3757047653198242,0.0010000000474974513
0.22423885762691498,3.638061761856079,0.45876285433769226,0.5654265284538269,0.3402906060218811,0.38394439220428467,0.2038954347372055,3.7578680515289307,0.45668888092041016,0.5473091006278992,0.329420804977417,0.37442338466644287,0.0010000000474974513
0.22607162594795227,3.630384922027588,0.4609358608722687,0.5658131837844849,0.34172123670578003,0.38467904925346375,0.20804715156555176,3.7586705684661865,0.45299845933914185,0.5530497431755066,0.3268580138683319,0.3771911859512329,0.0010000000474974513
0.22802038490772247,3.6057372093200684,0.46512725949287415,0.5720693469047546,0.34489184617996216,0.3894736170768738,0.20732957124710083,3.763655662536621,0.4555099904537201,0.5539210438728333,0.32772937417030334,0.37775498628616333,0.0005000000237487257
0.22930409014225006,3.5976181030273438,0.46640321612358093,0.5742036700248718,0.34551823139190674,0.39072638750076294,0.20886725187301636,3.752009868621826,0.4592004120349884,0.5508970022201538,0.3286007046699524,0.37667861580848694,0.0005000000237487257
0.22895610332489014,3.593736171722412,0.4675709307193756,0.5743119120597839,0.3462374210357666,0.39096611738204956,0.20707330107688904,3.764747142791748,0.4585340917110443,0.551922082901001,0.32757559418678284,0.37452587485313416,0.0005000000237487257
0.23034806549549103,3.590261936187744,0.468011736869812,0.5748609900474548,0.34670916199684143,0.3912213146686554,0.20732957124710083,3.7613823413848877,0.4576627314090729,0.5504869222640991,0.3276781141757965,0.3768836557865143,0.0005000000237487257
0.2310827225446701,3.5853748321533203,0.4692722260951996,0.5757502913475037,0.34714221954345703,0.3918476998806,0.20574064552783966,3.7522857189178467,0.45315223932266235,0.5522809028625488,0.32690927386283875,0.37626856565475464,0.0005000000237487257
0.23240509629249573,3.5689563751220703,0.4712441861629486,0.5807072520256042,0.349477618932724,0.39539721608161926,0.20650948584079742,3.7570416927337646,0.4578165113925934,0.5517170429229736,0.32731932401657104,0.3752434551715851,0.0002500000118743628
0.23230455815792084,3.563631772994995,0.472976416349411,0.5816816687583923,0.3500421345233917,0.3953353464603424,0.20697078108787537,3.7684881687164307,0.4571501910686493,0.5521783828735352,0.32608917355537415,0.3755509853363037,0.0002500000118743628
0.23354960978031158,3.559252977371216,0.4737110733985901,0.5815192461013794,0.3507458567619324,0.396425724029541,0.20835469663143158,3.767284870147705,0.4576627314090729,0.5514608025550842,0.32716554403305054,0.37780624628067017,0.0002500000118743628
0.234005868434906,3.5530736446380615,0.4753427803516388,0.5840557217597961,0.35146504640579224,0.3971835672855377,0.20814967155456543,3.7674293518066406,0.4542798697948456,0.5513582825660706,0.32716554403305054,0.37698617577552795,0.0001250000059371814
0.23437705636024475,3.5504863262176514,0.47582224011421204,0.5850765109062195,0.3512098491191864,0.39669638872146606,0.2074320912361145,3.7685165405273438,0.45791900157928467,0.5515120625495911,0.3272168040275574,0.3777037560939789,0.0001250000059371814
0.2338898628950119,3.547442674636841,0.475992351770401,0.5845119953155518,0.3516274392604828,0.397956907749176,0.2070220410823822,3.7661736011505127,0.4539210796356201,0.5503844022750854,0.3267042636871338,0.3763198256492615,0.0001250000059371814
0.2345317155122757,3.5421879291534424,0.4772992730140686,0.5855172872543335,0.35308900475502014,0.39842861890792847,0.2072783261537552,3.7735893726348877,0.453459769487381,0.5521783828735352,0.3262942135334015,0.376473605632782,6.25000029685907e-05
0.23491063714027405,3.5406699180603027,0.47693580389022827,0.5856951475143433,0.352300226688385,0.3989157974720001,0.2085084617137909,3.772095203399658,0.45340850949287415,0.5517683029174805,0.32583290338516235,0.3768836557865143,6.25000029685907e-05
0.2354983687400818,3.5399281978607178,0.4775157868862152,0.5857260823249817,0.3526018261909485,0.3987688720226288,0.20717580616474152,3.7711565494537354,0.4533572494983673,0.551922082901001,0.3268580138683319,0.37626856565475464,6.25000029685907e-05
0.23524317145347595,3.5392069816589355,0.47778645157814026,0.5869788527488708,0.3528260886669159,0.39842090010643005,0.20830343663692474,3.768038511276245,0.45720142126083374,0.5510507225990295,0.3267555236816406,0.3767811357975006,3.125000148429535e-05
